n_estimators,max_depth,learning_rate,accuracy,f1_score
20,3,0.05,0.8648648648648649,0.9
10,3,0.1,0.8648648648648649,0.9
20,3,0.1,0.8648648648648649,0.8979591836734694
10,5,0.1,0.8648648648648649,0.8979591836734694
30,3,0.05,0.8648648648648649,0.8979591836734694
20,5,0.05,0.8513513513513513,0.8888888888888888
20,5,0.1,0.8513513513513513,0.8888888888888888
30,5,0.05,0.8513513513513513,0.8888888888888888
30,5,0.1,0.8513513513513513,0.8888888888888888
10,3,0.05,0.8378378378378378,0.8823529411764706
30,3,0.01,0.8378378378378378,0.8823529411764706
10,5,0.05,0.8378378378378378,0.88
30,3,0.1,0.8378378378378378,0.8775510204081632
30,5,0.01,0.8108108108108109,0.8679245283018868
10,5,0.01,0.6486486486486487,0.7868852459016393
20,5,0.01,0.6486486486486487,0.7868852459016393
20,3,0.01,0.6486486486486487,0.7868852459016393
10,3,0.01,0.6486486486486487,0.7868852459016393
