learning_rate,epochs,accuracy,f1_score
0.001,50.0,1.0,1.0
0.001,100.0,1.0,1.0
0.001,150.0,1.0,1.0
0.05,100.0,0.8518518518518519,0.8518518518518519
0.05,50.0,0.8148148148148148,0.8132114798781466
0.1,150.0,0.8148148148148148,0.8000942118589178
0.05,150.0,0.7777777777777778,0.7732026143790849
0.1,10.0,0.7037037037037037,0.7053317053317053
0.1,100.0,0.6666666666666666,0.6637806637806638
0.001,10.0,0.6296296296296297,0.6265771265771266
0.1,50.0,0.5555555555555556,0.5592592592592592
0.05,10.0,0.4074074074074074,0.23586744639376217
