learning_rate,epochs,accuracy,f1_score
0.001,150.0,0.9473684210526315,0.9502789231142371
0.05,100.0,0.9473684210526315,0.9502789231142371
0.05,150.0,0.9473684210526315,0.9502789231142371
0.1,10.0,0.9473684210526315,0.9429027113237639
0.1,100.0,0.9473684210526315,0.9429027113237639
0.1,150.0,0.9473684210526315,0.9429027113237639
0.001,50.0,0.8947368421052632,0.9043859649122807
0.001,100.0,0.7368421052631579,0.7722842459684565
0.05,10.0,0.7368421052631579,0.7722842459684565
0.05,50.0,0.7368421052631579,0.7722842459684565
0.001,10.0,0.8421052631578947,0.7699248120300751
0.1,50.0,0.8421052631578947,0.7699248120300751
