learning_rate,epochs,accuracy,f1_score
0.05,50.0,0.7647058823529411,0.7647058823529411
0.001,50.0,0.7058823529411765,0.7128574750058126
0.001,150.0,0.7058823529411765,0.7128574750058126
0.1,100.0,0.7058823529411765,0.7128574750058126
0.1,150.0,0.7058823529411765,0.7128574750058126
0.001,100.0,0.6470588235294118,0.660427807486631
0.05,150.0,0.5882352941176471,0.6063348416289593
0.1,50.0,0.5294117647058824,0.549579831932773
0.05,100.0,0.47058823529411764,0.4891640866873065
0.001,10.0,0.29411764705882354,0.2745098039215686
0.1,10.0,0.29411764705882354,0.2745098039215686
0.05,10.0,0.17647058823529413,0.08823529411764706
