learning_rate,epochs,accuracy,f1_score
0.001,150.0,0.9571428571428572,0.9566482053016531
0.001,100.0,0.9428571428571428,0.9397959183673468
0.001,50.0,0.7714285714285715,0.6718894009216589
0.05,50.0,0.7714285714285715,0.6718894009216589
0.05,100.0,0.7714285714285715,0.6718894009216589
0.05,150.0,0.7714285714285715,0.6718894009216589
0.1,50.0,0.7714285714285715,0.6718894009216589
0.1,100.0,0.7714285714285715,0.6718894009216589
0.1,150.0,0.7714285714285715,0.6718894009216589
0.001,10.0,0.2714285714285714,0.16932693178729957
0.05,10.0,0.22857142857142856,0.0850498338870432
0.1,10.0,0.22857142857142856,0.0850498338870432
