learning_rate,epochs,accuracy,f1_score
0.001,100.0,1.0,1.0
0.001,150.0,0.978494623655914,0.9783606170735105
0.1,50.0,0.7311827956989247,0.7353549145663841
0.05,100.0,0.7096774193548387,0.7141833077316948
0.1,100.0,0.7204301075268817,0.7082266598395631
0.1,150.0,0.7311827956989247,0.7000257689694755
0.001,50.0,0.7096774193548387,0.6459377082032746
0.05,150.0,0.6774193548387096,0.6012544802867383
0.05,50.0,0.6666666666666666,0.5821138211382114
0.05,10.0,0.5161290322580645,0.4656830348937701
0.001,10.0,0.46236559139784944,0.38196164195585286
0.1,10.0,0.3763440860215054,0.20581317204301075
