learning_rate,epochs,accuracy,f1_score
0.05,150.0,0.8095238095238095,0.8118131868131868
0.001,50.0,0.6428571428571429,0.6324143692564745
0.001,150.0,0.5952380952380952,0.5922534640628798
0.001,100.0,0.5952380952380952,0.5719128329297821
0.001,10.0,0.6428571428571429,0.5031055900621118
0.05,10.0,0.6428571428571429,0.5031055900621118
0.1,50.0,0.6428571428571429,0.5031055900621118
0.1,100.0,0.6428571428571429,0.5031055900621118
0.1,150.0,0.6428571428571429,0.5031055900621118
0.1,10.0,0.42857142857142855,0.326984126984127
0.05,50.0,0.35714285714285715,0.18796992481203006
0.05,100.0,0.35714285714285715,0.18796992481203006
