learning_rate,epochs,accuracy,f1_score
0.001,100.0,0.9622641509433962,0.9622641509433962
0.001,150.0,0.9622641509433962,0.9622641509433962
0.05,50.0,0.9433962264150944,0.9405433443558322
0.1,50.0,0.9433962264150944,0.9405433443558322
0.001,10.0,0.9245283018867925,0.9336692839564046
0.001,50.0,0.9245283018867925,0.9336692839564046
0.05,100.0,0.9056603773584906,0.9187918999239754
0.1,150.0,0.9056603773584906,0.9187918999239754
0.05,150.0,0.8867924528301887,0.9042452830188679
0.1,100.0,0.8867924528301887,0.9042452830188679
0.05,10.0,0.9056603773584906,0.8608257052120306
0.1,10.0,0.9056603773584906,0.8608257052120306
