learning_rate,epochs,accuracy,f1_score
0.001,150.0,1.0,1.0
0.001,10.0,0.8636363636363636,0.8279720279720281
0.05,150.0,0.8636363636363636,0.8279720279720281
0.1,50.0,0.8636363636363636,0.8279720279720281
0.1,150.0,0.8636363636363636,0.8279720279720281
0.001,50.0,0.8181818181818182,0.7926634768740031
0.001,100.0,0.8181818181818182,0.7926634768740031
0.05,100.0,0.8181818181818182,0.7926634768740031
0.05,50.0,0.7727272727272727,0.7595647595647596
0.1,100.0,0.7727272727272727,0.7595647595647596
0.05,10.0,0.8181818181818182,0.7363636363636363
0.1,10.0,0.8181818181818182,0.7363636363636363
