lr,epochs,accuracy,f1_score
0.05,200.0,0.7413793103448276,0.4444444444444444
0.05,300.0,0.7413793103448276,0.4444444444444444
0.05,100.0,0.6206896551724138,0.3888888888888889
0.01,100.0,0.7758620689655172,0.23529411764705882
0.01,200.0,0.7758620689655172,0.23529411764705882
0.01,300.0,0.7758620689655172,0.23529411764705882
0.001,100.0,0.7586206896551724,0.125
0.001,200.0,0.7586206896551724,0.125
0.001,300.0,0.7586206896551724,0.125
