lr,epochs,accuracy,f1_score
0.01,100.0,0.7777777777777778,0.3333333333333333
0.01,200.0,0.7777777777777778,0.3333333333333333
0.01,300.0,0.7777777777777778,0.3333333333333333
0.001,100.0,0.6666666666666666,0.0
0.001,200.0,0.6666666666666666,0.0
0.001,300.0,0.6666666666666666,0.0
0.05,100.0,0.7222222222222222,0.0
0.05,200.0,0.7222222222222222,0.0
0.05,300.0,0.7222222222222222,0.0
