lr,epochs,accuracy,f1_score
0.001,200.0,1.0,1.0
0.001,300.0,1.0,1.0
0.05,200.0,1.0,1.0
0.05,300.0,1.0,1.0
0.01,100.0,1.0,1.0
0.01,200.0,1.0,1.0
0.01,300.0,1.0,1.0
0.05,100.0,0.96875,0.972972972972973
0.001,100.0,0.96875,0.9714285714285714
